day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:00-05:00,25656.25,2026-01-02 09:37:00-05:00,25697.75,-290.5,7,465.5,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.25,25616.35,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.7806582689285279
2026-01-02,short,2026-01-02 09:45:00-05:00,25690.0,2026-01-02 09:45:30-05:00,25682.15,290.44999999994616,37,499.5,win,target,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.75,25681.9,,,0.11063829787234042,0,False,0.8997058868408203
2026-01-02,short,2026-01-02 09:47:00-05:00,25699.75,2026-01-02 09:48:00-05:00,25758.0,-1398.0,24,492.0,loss,direction_flip,25710.0,25638.0,2026-01-02 09:46:00-05:00,2026-01-02 09:46:00-05:00,2026-01-02 09:46:00-05:00,10.25,25687.45,2026-01-02 09:48:00-05:00,25710.0,0.1388888888888889,0,False,0.6971391439437866
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.75,2026-01-02 10:08:00-05:00,25707.75,-354.0,6,477.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.75,25814.45,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.7486263751983643
2026-01-02,long,2026-01-02 10:11:00-05:00,25684.0,2026-01-02 10:11:30-05:00,25689.15,283.25000000008004,55,495.0,win,target,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.5,25689.4,,,0.034274193548387094,0,False,0.8054445624351502
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.0,2026-01-05 09:47:30-05:00,25589.55,281.40000000000873,12,474.0,win,target,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.75,25589.3,,,0.20689655172413793,0,False,0.5826600015163421
2026-01-05,short,2026-01-05 10:04:00-05:00,25621.25,2026-01-05 10:05:00-05:00,25634.75,-297.0,22,495.0,loss,stop,25632.5,25538.5,2026-01-05 10:03:00-05:00,2026-01-05 10:03:00-05:00,2026-01-05 10:04:00-05:00,11.25,25607.75,2026-01-05 10:05:00-05:00,25632.5,0.11702127659574468,0,False,0.6279706954956055
2026-01-05,short,2026-01-05 10:07:00-05:00,25620.5,2026-01-05 10:10:00-05:00,25647.5,-243.0,9,459.0,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.5,25589.9,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.6120717644691467
2026-01-05,short,2026-01-05 10:13:00-05:00,25632.75,2026-01-05 10:17:00-05:00,25650.5,-355.0,20,480.0,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,12.0,25618.35,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,0.7529720306396485
2026-01-05,short,2026-01-05 10:19:00-05:00,25654.5,2026-01-05 10:20:00-05:00,25662.0,-277.5,37,499.5,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,6.75,25646.4,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.9647058844566345
2026-01-05,short,2026-01-05 10:23:00-05:00,25644.75,2026-01-05 10:28:00-05:00,25668.5,-308.75,13,487.5,loss,stop,25663.5,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,18.75,25622.25,2026-01-05 10:28:00-05:00,25663.5,0.148,0,False,0.6406431913375854
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.25,2026-01-05 10:32:30-05:00,25683.3,289.5999999999767,32,496.0,win,target,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.75,25683.55,,,0.42857142857142855,0,False,0.6892183423042297
2026-01-05,long,2026-01-05 10:37:00-05:00,25670.5,2026-01-05 10:38:00-05:00,25660.25,-317.75,31,496.0,loss,stop,25662.5,25691.25,2026-01-05 10:36:00-05:00,2026-01-05 10:36:00-05:00,2026-01-05 10:36:00-05:00,8.0,25680.1,2026-01-05 10:38:00-05:00,25662.5,0.26956521739130435,1,False,0.7224307179450988
2026-01-05,long,2026-01-05 10:40:00-05:00,25655.25,2026-01-05 10:40:30-05:00,25661.0,287.5,50,500.0,win,target,25650.25,25691.25,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,5.0,25661.25,,,0.11585365853658537,0,False,0.9238181829452514
2026-01-05,long,2026-01-05 10:43:00-05:00,25660.0,2026-01-05 10:45:00-05:00,25641.0,-361.0,19,484.5,loss,stop,25647.25,25691.25,2026-01-05 10:42:00-05:00,2026-01-05 10:42:00-05:00,2026-01-05 10:43:00-05:00,12.75,25675.3,2026-01-05 10:45:00-05:00,25647.25,0.2840909090909091,0,False,0.4695392906665802
2026-01-05,long,2026-01-05 10:50:00-05:00,25657.5,2026-01-05 10:56:30-05:00,25670.75,291.5,22,495.0,win,target,25646.25,25691.25,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.25,25671.0,,,0.24444444444444444,0,False,0.6749326229095459
2026-01-05,long,2026-01-05 10:59:00-05:00,25665.0,2026-01-05 11:00:00-05:00,25664.25,-20.25,27,486.0,forced_close,forced_close,25656.0,25691.25,2026-01-05 10:58:00-05:00,2026-01-05 10:58:00-05:00,2026-01-05 10:59:00-05:00,9.0,25675.8,,,0.24822695035460993,0,False,0.7707653999328613
2026-01-06,short,2026-01-06 09:44:00-05:00,25640.25,2026-01-06 09:44:30-05:00,25636.0,280.5,66,495.0,win,target,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.75,25635.75,,,0.09929078014184398,0,False,0.9919999957084655
2026-01-07,long,2026-01-07 09:38:00-05:00,25807.5,2026-01-07 09:38:30-05:00,25819.55,289.19999999998254,24,492.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.25,25819.8,,,0.28169014084507044,0,False,0.5955531060695648
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.5,2026-01-08 09:34:30-05:00,25693.05,269.1500000000051,7,451.5,win,target,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.25,25692.8,,,0.920863309352518,0,False,0.5993992626667023
